ingredient_name,group_name,Water,Energy,Protein,Total lipid (fat),Ash,CHO ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu",Iodine,"Selenium, Se, ug",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total, ug","Choline, total","Vitamin B-12, ug","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",PUFA 18:2,PUFA 18:3,PUFA 20:5 n-3 (EPA),PUFA 22:6 n-3 (DHA),Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine
"Beef, 97",Group A,74.8,480.1587302,87.3015873,11.9047619,4.246031746,0,0,31.74603175,9.682539683,87.3015873,805.5555556,1416.666667,261.9047619,20.67460317,0.317460317,0,0.070238095,0.162698413,0.599206349,22.46031746,2.670634921,1.591269841,0.015873016,288.8888889,0.008968254,55.55555556,0.674603175,11.9047619,0.611111111,0.126984127,0,0,0.444444444,3.376984127,3.857142857,6.825396825,7.222222222,2.246031746,0.896825397,3.404761905,2.686507937,4.285714286,5.674603175
Beef 80,Group B,61.9,666.6666667,45.14435696,52.49343832,2.204724409,0,0,47.24409449,5.091863517,44.61942257,414.6981627,708.6614173,173.2283465,10.97112861,0.160104987,0,0.039370079,0.112860892,0.396325459,11.1023622,1.307086614,0.847769029,0.018372703,148.0314961,0.005616798,36.74540682,0.446194226,7.874015748,1.102362205,0.170603675,0,0,0.228346457,1.745406824,1.992125984,3.517060367,3.727034121,1.160104987,0.464566929,1.758530184,1.385826772,2.215223097,2.939632546
"sardine with bones, canned",Group C,59.6,514.8514851,60.89108911,28.21782178,8.366336634,0,0,945.5445545,7.227722772,96.53465347,1212.871287,982.6732673,759.9009901,3.242574257,0.46039604,0,0.130445545,0.198019802,0.561881188,12.97029703,1.589108911,0.413366337,0.024752475,185.6435644,0.022128713,267.3267327,5.04950495,477.7227723,8.762376238,1.232673267,1.170792079,1.25990099,0.683168317,2.673267327,2.797029703,4.95049505,5.594059406,1.804455446,0.653465347,2.378712871,2.056930693,3.143564356,3.638613861
salmon raw pink ,Group A,75.5,518.3673469,83.67346939,17.95918367,6.204081633,0,0,28.57142857,1.551020408,110.2040816,1065.306122,1493.877551,306.122449,1.591836735,0.257142857,0,0.128163265,0.326530612,0.428571429,32.65306122,4.204081633,2.493877551,0.016326531,386.122449,0.016938776,477.5510204,1.632653061,1775.510204,0.330612245,0.191836735,0.742857143,1.359183673,0.902040816,4.367346939,3.893877551,6.367346939,7.183673469,2.355102041,0.648979592,3.448979592,3.028571429,4.489795918,5.265306122
"Talipia, fish",Group A,78.1,438.3561644,91.78082192,7.762557078,4.246575342,0,0,45.66210046,2.557077626,123.2876712,776.2557078,1378.995434,237.4429224,1.506849315,0.342465753,0,0.191780822,0.365296804,0.479452055,36.52968037,4.703196347,2.789954338,0.01826484,431.9634703,0.018949772,534.2465753,1.826484018,566.2100457,0.721461187,0.150684932,0.02283105,0.392694064,1.00913242,4.885844749,4.356164384,7.123287671,8.03652968,2.634703196,0.726027397,3.858447489,3.388127854,5.02283105,5.890410959
turkey breast only,Group A,74.9,454.1832669,94.42231076,5.896414343,4.143426295,0.557768924,0,43.8247012,2.908366534,111.5537849,800.7968127,964.1434263,450.1992032,5.099601594,0.278884462,0,0.090438247,0.167330677,0.577689243,39.52191235,3.087649402,3.239043825,0.027888446,244.2231076,0.00250996,79.6812749,0.239043825,19.92031873,0.796812749,0.035856574,0,0.011952191,1.003984064,3.422310757,2.701195219,6.533864542,7.768924303,2.466135458,0.888446215,3.039840637,2.800796813,3.011952191,5.338645418
duck breast only,Group A,75.5,502.0408163,80.81632653,17.34693878,5.428571429,0,0,12.24489796,18.40816327,89.79591837,759.1836735,1093.877551,232.6530612,3.020408163,1.346938776,0,0.056734694,1.697959184,1.265306122,14.04081633,3.142857143,2.571428571,0.102040816,0,0.003102041,216.3265306,0,0,2.081632653,0.285714286,0,0,1.126530612,3.46122449,4.163265306,6.857142857,6.93877551,2.191836735,1.244897959,3.395918367,3.085714286,4.244897959,5.183673469
beef heart,Organ meat,77.1,489.0829694,77.29257642,17.20524017,4.80349345,0.611353712,0,30.56768559,18.8209607,91.70305677,925.7641921,1253.275109,427.9475983,7.423580786,1.729257642,0,0.095196507,1.03930131,3.956331878,32.88209607,7.816593886,1.218340611,0.013100437,0,0.037336245,0,0.96069869,0,1.72489083,0.069868996,0,0,0,0,0,0,0,0,0,0,0,0,0
whitefish raw,Group C,72.8,492.6470588,70.22058824,21.54411765,4.117647059,0,0,95.58823529,1.360294118,121.3235294,992.6470588,1165.441176,187.5,3.639705882,0.264705882,0,0.046323529,0.514705882,0.441176471,11.02941176,2.757352941,1.102941176,0.055147059,238.9705882,0.003676471,441.1764706,0.735294118,1757.352941,1,0.672794118,1.165441176,3.459558824,0.786764706,3.077205882,3.235294118,5.698529412,6.433823529,2.077205882,0.753676471,2.738970588,2.367647059,3.613970588,4.191176471
quial meat with skin ,Group B,69.6,631.5789474,64.47368421,39.47368421,2.960526316,0,0,42.76315789,13.05921053,75.65789474,904.6052632,710.5263158,174.3421053,7.960526316,1.667763158,0,0.054605263,0.802631579,0.855263158,24.80263158,2.539473684,1.973684211,0.026315789,0,0.001414474,799.3421053,0,0,7.565789474,1.381578947,0.032894737,0,0.947368421,3.108552632,3.322368421,5.296052632,5.394736842,1.944078947,1.118421053,2.717105263,2.792763158,3.388157895,4.210526316
