Unnamed: 0,Unnamed: 1,Oyster canned,"Beef, 97%","Beef, 90%",Beef 80%,"sardine with bones, canned",salmon raw pink ,"Talipia, fish",turkey breast only,duck breast only,beef heart,whitefish raw,deer ground meat,quial meat with skin ,quial meat only,"egg white, raw","Beef tongue, raw","pork loin, lean bonless",pork shoulder lean,"pork loin, bonless",beef liver,chikcen liver,"chicken breast, meat only",Chicken thigh with skin ,"Chicken heart, raw","Chicken Gizzards, raw  ",beef kidney ,Beef Heart,ground lamb meat,Lamb liver,Lamb kidney,Lamb heart,"Ostrich, ground",Rabbit meat,Trout,"Shrimp, raw"
Water,,85.1,74.8,69.4,61.9,59.6,75.5,78.1,74.9,75.5,77.1,72.8,71.2,69.6,70,87.6,64.5,73.3,72.6,70.1,70.8,76.5,73.9,66.5,73.6,79.3,77.9,77.1,59.5,70.8,81,76.7,71.1,74.5,73.8,83
Energy,,68,121,176,254,208,127,96,114,123,112,134,157,192,134,52,224,132,148,166,135,119,120,221,153,94,99,112,282,136,84,122,165,114,141,71
Protein,,7.06,22,20,17.2,24.6,20.5,20.1,23.7,19.8,17.7,19.1,21.8,19.6,21.8,10.9,14.9,22.4,19.6,21.3,20.4,16.9,22.5,16.5,15.6,17.7,17.4,17.7,16.6,20.7,15.2,16.5,20.2,21.8,19.9,13.6
Total lipid (fat),,2.47,3,10,20,11.4,4.4,1.7,1.48,4.25,3.94,5.86,7.13,12,4.53,0.17,16.1,4.06,7.14,8.33,3.63,4.83,2.62,16.6,9.33,2.06,3.09,3.94,23.4,4.92,2.54,5.68,8.7,2.32,6.18,1.01
Ash,,1.42,1.07,0.98,0.84,3.38,1.52,0.93,1.04,1.33,1.1,1.12,0.88,0.9,1.32,0.63,0.8,1.01,1.02,0.97,1.31,1.06,1.13,0.81,0.85,0.95,1.33,1.1,0.87,1.36,1.19,0.93,0.73,1.12,1.21,1.86
"Carbohydrate, by difference",,3.91,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0.73,3.68,0,0,0,3.89,0.73,0,0.25,0.71,0,0.29,0.14,0,2.22,0.03,0.21,0,0,0,0.91
"Fiber, total dietary",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starch (CHO,,3.91,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0.73,3.68,0,0,0,3.89,0.73,0,0.25,0.71,0,0.29,0.14,0,2.22,0.03,0.21,0,0,0,0.91
"Calcium, Ca",,45,8,12,18,382,7,10,11,3,7,26,11,13,13,7,6,5,14,7,5,8,5,7,12,11,13,7,16,4,8,6,7,12,25,54
"Iron, Fe",,6.7,2.44,2.24,1.94,2.92,0.38,0.56,0.73,4.51,4.31,0.37,2.92,3.97,4.51,0.08,2.95,0.54,1.22,0.53,4.9,8.99,0.37,0.68,5.96,2.49,4.6,4.31,1.55,4.6,6.6,4.6,2.91,3.2,0.31,0.21
"Magnesium, Mg",,54,22,20,17,39,27,27,28,22,21,33,21,23,25,11,16,26,21,24,18,19,28,18,15,15,17,21,21,18,16,17,20,29,25,22
"Phosphorus, P",,139,203,184,158,490,261,170,201,186,212,270,201,275,307,15,133,225,202,216,387,297,213,157,177,148,257,212,157,381,245,175,199,226,226,244
"Potassium, K",,229,357,321,270,397,366,302,242,268,287,317,330,216,237,163,315,374,341,358,313,230,334,204,176,237,262,287,222,285,231,316,291,378,377,113
"Sodium, Na",,112,66,66,66,307,75,52,113,57,98,51,75,53,51,166,69,49,76,47,69,71,45,81,74,69,182,98,59,59,168,89,72,50,51,566
"Zinc, Zn",,91,5.21,4.79,4.18,1.31,0.39,0.33,1.28,0.74,1.7,0.99,4.2,2.42,2.7,0.03,2.87,1.8,3.14,1.73,4,2.67,0.68,1.29,6.59,2.72,1.92,1.7,3.41,3.4,1.81,1.87,3.51,0,0.45,0.97
"Copper, Cu",,4.46,0.08,0.072,0.061,0.186,0.063,0.075,0.07,0.33,0.396,0.072,0.14,0.507,0.594,0.023,0.17,0.058,0.097,0.056,9.76,0.492,0.037,0.054,0.346,0.116,0.426,0.396,0.101,11.4,0.361,0.397,0.128,0,0.046,0.182
Iodine,,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenium, Se",,35.8,17.7,16.6,15,52.7,31.4,42,22.7,13.9,21.8,12.6,10,16.6,17.4,20,9.4,27.7,29.5,26.5,39.7,54.6,22.8,18.9,4.3,25.5,141,21.8,18.8,11.1,93.6,32,33,9.4,23.6,29.6
Thiamin,,0.15,0.041,0.042,0.043,0.08,0.08,0.08,0.042,0.416,0.238,0.14,0.547,0.244,0.283,0.004,0.125,0.443,0.884,0.426,0.189,0.305,0.094,0.073,0.152,0.028,0.357,0.238,0.11,1.21,0.413,0.37,0.182,0.03,0.12,0.02
Riboflavin,,0.166,0.151,0.151,0.151,0.227,0.105,0.105,0.145,0.31,0.906,0.12,0.287,0.26,0.285,0.439,0.34,0.187,0.314,0.181,2.76,1.78,0.177,0.145,0.728,0.231,2.84,0.906,0.21,4.21,1.28,0.99,0.267,0.06,0.09,0.015
Niacin,,1.24,5.66,5.07,4.23,5.24,8,8,9.92,3.44,7.53,3,5.7,7.54,8.2,0.105,4.24,5.74,4.28,5.57,13.2,9.73,9.6,4.62,4.88,3.68,8.03,7.53,5.96,13.7,8.43,6.14,4.38,6.5,5.57,1.78
Pantothenic acid,,0.18,0.673,0.601,0.498,0.642,1.03,1.03,0.775,0.77,1.79,0.75,0.69,0.772,0.787,0.19,0.653,0.745,0.822,0.722,7.17,6.23,1.5,0.19,2.56,0.631,3.97,1.79,0.65,5.57,3.21,2.63,1.08,0,1.67,0.31
Vitamin B-6,,0.095,0.401,0.369,0.323,0.167,0.611,0.611,0.813,0.63,0.279,0.3,0.464,0.6,0.53,0.005,0.31,0.755,0.415,0.718,1.08,0.853,0.811,0.347,0.36,0.112,0.665,0.279,0.13,0.218,0.173,0.39,0.475,0,0.34,0.161
"Folate, total",,9,4,6,7,10,4,4,7,25,3,15,4,8,7,4,7,0,5,0,290,588,9,3,72,5,98,3,18,0,0,2,7,0,11,19
"Choline, total",,81,72.8,66.1,56.4,75,94.6,94.6,61.3,0,0,65,87.9,0,0,1.1,0,59.5,0,57.3,333,194,82.1,45.7,0,1.21,0,0,69.3,0,0,0,0,0,65,80.9
Vitamin B-12,,19.1,2.26,2.21,2.14,8.94,4.15,4.15,0.63,0.76,8.55,1,1.87,0.43,0.47,0.09,3.79,0.51,0.84,0.54,59.3,16.6,0.21,0.62,7.29,64,27.5,8.55,2.31,59,50.4,10.2,4.61,0,4.3,1.11
"Vitamin A, IU",,300,14,14,14,108,117,117,20,53,0,120,0,243,57,0,0,0,6,5,16900,11100,30,78,30,0.33,1400,0,0,51400,204,0,0,0,280,180
Vitamin E (alpha-tocopherol),,0.85,0.17,0.17,0.17,2.04,0.4,0.4,0.06,0,0.22,0.2,0.45,0,0,0,0,0.13,0,0.12,0.38,0.7,0.56,0.21,0,0,0.22,0,0.2,0.86,0.42,0,0.24,0,2.34,1.32
"Vitamin D (D2 + D3), International Units",,1,3,3,3,193,435,124,5,0,0,478,0,0,0,0,0,16,0,21,49,0,1,3,0,0,45,0.22,2,0,5,0,0,0,635,2
PUFA 18:2,,0.049,0.154,0.263,0.42,3.54,0.081,0.158,0.2,0.51,0.395,0.272,0.225,2.3,0.93,0,0.58,0.349,0.62,0.913,0.299,0.475,0.319,3.1,1.91,0.246,0.292,0.395,1.36,0.204,0.166,0.24,0.777,0.36,0.492,0.095
PUFA 18:3,,0.037,0.032,0.046,0.065,0.498,0.047,0.033,0.009,0.07,0.016,0.183,0.104,0.42,0.02,0,0,0.013,0.03,0.041,0.016,0.012,0.013,0.162,0.07,0.003,0.013,0.016,0.42,0.147,0.05,0.13,0.056,0.09,0.067,0.006
PUFA 20:5 n-3 (EPA),,0.211,0,0,0,0.473,0.182,0.005,0,0,0,0.317,0,0.01,0.01,0,0,0,0,0,0,0,0.003,0.004,0,0,0,0,0,0.129,0.093,0.04,0,0,0.217,0.068
PUFA 22:6 n-3 (DHA),,0.228,0,0,0,0.509,0.333,0.086,0.003,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0.004,0.007,0,0,0,0,0,0.163,0.036,0.03,0,0,0.516,0.07
Tryptophan,,0.079,0.112,0.102,0.087,0.276,0.221,0.221,0.252,0.276,0,0.214,0.192,0.288,0.341,0.125,0.114,0.236,0.248,0.225,0.263,0.176,0.283,0.167,0.199,0,0,0,0.193,0.229,0.168,0.178,0.18,0.288,0.234,0.155
Threonine,,0.304,0.851,0.775,0.665,1.08,1.07,1.07,0.859,0.848,0,0.837,0.818,0.945,1.09,0.449,0.648,1,0.893,0.958,0.869,0.725,1.01,0.735,0.704,0,0,0,0.709,0.987,0.726,0.777,0.887,0.975,0.915,0.54
Isoleucine,,0.307,0.972,0.885,0.759,1.13,0.954,0.954,0.678,1.02,0,0.88,0.929,1.01,1.19,0.661,0.641,1.1,0.915,1.05,0.967,0.813,1.1,0.731,0.833,0,0,0,0.799,0.927,0.681,0.714,0.961,1.03,0.962,0.627
Leucine,,0.497,1.72,1.56,1.34,2,1.56,1.56,1.64,1.68,0,1.55,1.64,1.61,1.87,1.02,1.11,1.91,1.57,1.82,1.91,1.51,1.86,1.32,1.36,0,0,0,1.29,1.6,1.18,1.4,1.64,1.7,1.7,1.16
Lysine,,0.528,1.82,1.66,1.42,2.26,1.76,1.76,1.95,1.7,0,1.75,1.76,1.64,1.9,0.806,1.15,2.08,1.76,1.98,1.61,1.33,2.16,1.45,1.3,0,0,0,1.46,1.81,1.33,1.24,1.78,1.91,1.92,1.3
